2021-05-27 10:18:10,108 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-05-27 10:18:10,270 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-05-27 10:18:10,271 INFO  Logger.cs: 73 - Commit version 
2021-05-27 10:18:10,273 INFO  Logger.cs: 74 - Build version 1.5.7817.18516
2021-05-27 10:18:10,411 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2021-05-27 10:18:10,411 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2021-05-27 10:18:10,650 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2021-05-27 10:22:38,264 INFO  SwAddin.cs: 271 - Assembly export called for file one_link_robot.SLDASM
2021-05-27 10:22:40,385 INFO  SwAddin.cs: 290 - Saving assembly
2021-05-27 10:22:40,552 INFO  SwAddin.cs: 293 - Opening property manager
2021-05-27 10:22:40,620 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from one_link_robot.SLDASM
2021-05-27 10:22:40,624 INFO  ExportHelperExtension.cs: 1142 - Found 29 in one_link_robot.SLDASM
2021-05-27 10:22:40,625 INFO  ExportHelperExtension.cs: 1152 - Found 2 features of type [CoordSys] in one_link_robot.SLDASM
2021-05-27 10:22:40,625 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2021-05-27 10:22:40,627 INFO  ExportHelperExtension.cs: 1167 - 2 components to check
2021-05-27 10:22:40,628 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from base_link-1
2021-05-27 10:22:40,628 INFO  ExportHelperExtension.cs: 1142 - Found 27 in base_link-1
2021-05-27 10:22:40,629 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in base_link-1
2021-05-27 10:22:40,629 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from link_1-1
2021-05-27 10:22:40,629 INFO  ExportHelperExtension.cs: 1142 - Found 32 in link_1-1
2021-05-27 10:22:40,629 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in link_1-1
2021-05-27 10:22:40,631 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from one_link_robot.SLDASM
2021-05-27 10:22:40,631 INFO  ExportHelperExtension.cs: 1142 - Found 29 in one_link_robot.SLDASM
2021-05-27 10:22:40,631 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in one_link_robot.SLDASM
